STID,name,state,network,network_long,Wind Sensor Height (m),lat,lon,Start Time,End Time,obs_time,obs_time_years
PICI,PICABO,ID,AGRIMET,U.S. Bureau of Reclamation,3.0,43.31167,-114.16583,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
PMAI,PARMA,ID,AGRIMET,U.S. Bureau of Reclamation,3.0,43.8,-116.93333,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
RPTI,RUPERT,ID,AGRIMET,U.S. Bureau of Reclamation,3.0,42.59500,-113.83806,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
RXGI,REXBURG,ID,AGRIMET,U.S. Bureau of Reclamation,3.0,43.85,-111.76667,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
TWFI,TWIN FALLS,ID,AGRIMET,U.S. Bureau of Reclamation,3.0,42.54611,-114.34528,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
AFTY,AFTON,WY,AGRIMET,U.S. Bureau of Reclamation,3.0,42.73333,-110.93583,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
COVM,CORVALLIS,MT,AGRIMET,U.S. Bureau of Reclamation,3.0,46.33333,-114.08333,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
CRSM,CRESTON,MT,AGRIMET,U.S. Bureau of Reclamation,3.0,48.18750,-114.12778,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
DRLM,DEER LODGE,MT,AGRIMET,U.S. Bureau of Reclamation,3.0,46.33556,-112.76667,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
RDBM,ROUND BUTTE,MT,AGRIMET,U.S. Bureau of Reclamation,3.0,47.53944,-114.28056,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
SIGM,ST. IGNATIUS,MT,AGRIMET,U.S. Bureau of Reclamation,3.0,47.31333,-114.09806,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
ECHO,ECHO,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,45.71861,-119.31111,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
HERO,HERMISTON,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,45.82111,-119.52139,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
HRMO,HERMISTON R&E,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,45.81944,-119.28333,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
HRFO,HEREFORD,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,44.48806,-118.02000,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
IMBO,IMBLER,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,45.43333,-117.96667,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
ONTO,ONTARIO,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,43.97778,-117.01528,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
PCYO,PRARIE CITY,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,44.44083,-118.62778,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
GERW,GEORGE,WA,AGRIMET,U.S. Bureau of Reclamation,3.0,47.04389,-119.64222,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
LEGW,LEGRO,WA,AGRIMET,U.S. Bureau of Reclamation,3.0,46.20528,-118.93611,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
LIDW,LIND,WA,AGRIMET,U.S. Bureau of Reclamation,3.0,46.86722,-118.73944,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
ODSW,ODESSA,WA,AGRIMET,U.S. Bureau of Reclamation,3.0,47.30889,-118.87861,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
OMAW,OMAK,WA,AGRIMET,U.S. Bureau of Reclamation,3.0,48.40250,-119.57611,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
ARAO,AURORA,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,45.28194,-122.75028,2000-12-04T00:00:00Z,2025-04-04T20:30:00Z,8887 days 20:30:00,24.333618526123658
BANO,BANDON,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,43.09111,-124.41722,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
BRKO,BROOKINGS,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,42.03,-124.24083,2000-12-04T00:00:00Z,2025-04-04T20:30:00Z,8887 days 20:30:00,24.333618526123658
CEDC,CEDARVILLE,CA,AGRIMET,U.S. Bureau of Reclamation,3.0,41.58528,-120.17139,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
CHVO,CHRISTMAS VALLEY,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,43.24139,-120.72806,1999-12-07T00:00:00Z,2025-04-04T21:30:00Z,9250 days 21:30:00,25.327572438968744
CRVO,CORVALLIS,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,44.63417,-123.19,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
DEFO,DEE FLAT,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,45.58639,-121.64056,1999-12-07T00:00:00Z,2025-04-04T21:30:00Z,9250 days 21:30:00,25.327572438968744
FOGO,FOREST GROVE,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,45.55306,-123.08361,1999-12-07T00:00:00Z,2025-04-04T21:30:00Z,9250 days 21:30:00,25.327572438968744
GOLW,GOLDENDALE,WA,AGRIMET,U.S. Bureau of Reclamation,3.0,45.81194,-120.82444,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
HOXO,HOOD RIVER,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,45.68444,-121.51806,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
HRHW,HARRA,WA,AGRIMET,U.S. Bureau of Reclamation,3.0,46.38472,-120.57444,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
AKFLO,KLAMATH FALLS,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,42.16472,-121.75500,2000-12-04T00:00:00Z,2025-04-04T21:00:00Z,8887 days 21:00:00,24.333675564681723
LAKO,LAKEVIEW,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,42.12222,-120.52306,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
MASW,MANSON,WA,AGRIMET,U.S. Bureau of Reclamation,3.0,47.91694,-120.12444,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
MDFO,MEDFORD,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,42.33111,-122.93778,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
MRSO,MADRAS,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,44.68,-121.14861,1999-12-07T00:00:00Z,2025-04-04T21:30:00Z,9250 days 21:30:00,25.327572438968744
PARO,PARKDALE,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,45.54444,-121.61667,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
PNGO,PINEGROVE,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,45.65222,-121.50917,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
POBO,POWELL BUTTE,OR,AGRIMET,U.S. Bureau of Reclamation,3.0,44.24833,-120.94972,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
FG022,Sunnyslope,ID,FGNet,Utah Fruit Growers Weather Monitoring Network,5.0,43.58709,-116.76876,2000-01-23T00:00:00Z,2025-04-04T22:00:00Z,9203 days 22:00:00,25.1989504905316
FG021,Santaquin East,UT,FGNet,Utah Fruit Growers Weather Monitoring Network,5.0,39.99676,-111.77086,2000-01-23T00:00:00Z,2025-04-04T21:40:00Z,9203 days 21:40:00,25.198912464826222
NWRU1,NORWAY,UT,RAWS,Interagency Remote Automatic Weather Stations,6.1,40.612500,-111.098330,1998-07-28T00:00:00Z,2025-04-04T22:04:00Z,9747 days 22:04:00,26.68834892387254
QBHA3,BLACK HILLS,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,33.082030,-109.951190,1997-01-01T00:00:00Z,2025-04-04T21:53:00Z,10320 days 21:53:00,28.257116510761275
QBRA3,BLACK ROCK,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.794360,-113.750560,1998-07-28T00:00:00Z,2025-04-04T21:50:00Z,9747 days 21:50:00,26.688322305878774
QBAA3,BRIGHT ANGEL,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.204720,-112.062220,1999-08-06T00:00:00Z,2025-04-04T21:07:00Z,9373 days 21:07:00,25.664284356224808
QBMA3,BUCKSKIN MTN,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.918080,-112.199810,1998-07-28T00:00:00Z,2025-04-04T21:33:00Z,9747 days 21:33:00,26.688289984029204
CHEA3,CHERRY,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.596610,-112.047610,1998-07-29T00:00:00Z,2025-04-04T21:11:00Z,9746 days 21:11:00,26.685510304966158
QCGA3,COLUMBINE,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.703890,-109.913890,1998-07-28T00:00:00Z,2025-04-04T22:02:00Z,9747 days 22:02:00,26.688345121302
QCKA3,CROWN KING,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.203360,-112.345610,1997-01-01T00:00:00Z,2025-04-04T21:27:00Z,10320 days 21:27:00,28.257067077344285
QDLA3,DRY LAKE,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,33.359820,-109.833060,1997-01-01T00:00:00Z,2025-04-04T21:27:00Z,10320 days 21:27:00,28.257067077344285
QDPA3,DRY PARK,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.453080,-112.238190,1997-07-31T00:00:00Z,2025-04-04T21:38:00Z,10109 days 21:38:00,27.67940147539737
QEMA3,EMPIRE,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,31.783470,-110.64325,1997-01-01T00:00:00Z,2025-04-04T21:53:00Z,10320 days 21:53:00,28.257116510761275
QFSA3,FOUR SPRINGS,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.793670,-112.042390,1998-07-28T00:00:00Z,2025-04-04T21:19:00Z,9747 days 21:19:00,26.68826336603544
QGDA3,GOODWIN MESA,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.776140,-113.3375,1997-01-01T00:00:00Z,2025-04-04T21:20:00Z,10320 days 21:20:00,28.257053768347404
QGRA3,GREER,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.058530,-109.440970,1997-01-01T00:00:00Z,2025-04-04T21:35:00Z,10320 days 21:35:00,28.257082287626435
QGSA3,GUNSIGHT,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.704640,-112.583500,1997-01-01T00:00:00Z,2025-04-04T21:34:00Z,10320 days 21:34:00,28.257080386341165
QGTA3,GUTHRIE,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.882030,-109.309280,1997-01-01T00:00:00Z,2025-04-04T22:03:00Z,10320 days 22:03:00,28.257135523613965
QHAA3,HAVASU,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.807580,-114.534560,1998-07-28T00:00:00Z,2025-04-04T21:52:00Z,9747 days 21:52:00,26.68832610844931
QCHA3,HEADQUARTERS,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.006110,-109.356940,1998-07-28T00:00:00Z,2025-04-04T21:37:00Z,9747 days 21:37:00,26.68829758917028
QHRA3,HORSE CAMP CANYON,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.936560,-110.493470,1998-07-28T00:00:00Z,2025-04-04T22:02:00Z,9747 days 22:02:00,26.688345121302
QHBA3,HUMBUG CREEK,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.1100,-112.3,1998-07-28T00:00:00Z,2025-04-04T21:48:00Z,9747 days 21:48:00,26.688318503308235
QHUA3,HURRICANE,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.699080,-113.207310,1998-07-28T00:00:00Z,2025-04-04T21:34:00Z,9747 days 21:34:00,26.688291885314474
QLCA3,LIMESTONE CANYON,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.177860,-110.276630,1997-01-01T00:00:00Z,2025-04-04T21:24:00Z,10320 days 21:24:00,28.25706137348848
QLBA3,LINDBERGH HILL,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.285560,-112.078610,1999-08-06T00:00:00Z,2025-04-04T21:08:00Z,9373 days 21:08:00,25.664286257510078
QMBA3,MOSS BASIN,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.033970,-113.894060,1997-01-01T00:00:00Z,2025-04-04T21:23:00Z,10320 days 21:23:00,28.25705947220321
QMLA3,MOUNT LOGAN,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.353060,-113.199170,1998-07-28T00:00:00Z,2025-04-04T21:33:00Z,9747 days 21:33:00,26.688289984029204
QMRA3,MULESHOE RANCH,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.403830,-110.271940,1997-01-01T00:00:00Z,2025-04-04T22:03:00Z,10320 days 22:03:00,28.257135523613965
QMMA3,MUSIC MOUNTAIN,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.614970,-113.794280,1998-07-28T00:00:00Z,2025-04-04T21:52:00Z,9747 days 21:52:00,26.68832610844931
QOCA3,OAK CREEK,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.946860,-111.754440,1997-01-01T00:00:00Z,2025-04-04T22:03:00Z,10320 days 22:03:00,28.257135523613965
QOKA3,OLAF KNOLLS,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.507220,-113.816110,1997-01-01T00:00:00Z,2025-04-04T21:33:00Z,10320 days 21:33:00,28.2570784850559
QPPA3,PARIA POINT,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.727530,-111.822000,1998-07-28T00:00:00Z,2025-04-04T22:00:00Z,9747 days 22:00:00,26.688341318731464
QPAA3,PAYSON,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.246140,-111.293500,1998-07-28T00:00:00Z,2025-04-04T21:11:00Z,9747 days 21:11:00,26.68824815575329
QPVA3,PLEASANT VALLEY,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.088580,-110.942250,1998-07-29T00:00:00Z,2025-04-04T22:00:00Z,9746 days 22:00:00,26.68560346794433
QPRA3,PROMONTORY,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.365280,-111.014440,1997-01-01T00:00:00Z,2025-04-04T21:49:00Z,10320 days 21:49:00,28.2571089056202
QHVA3,RINCON,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.206390,-110.548610,1997-01-01T00:00:00Z,2025-04-04T21:37:00Z,10320 days 21:37:00,28.257086090196974
TTBA3,TONTO BASIN,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,33.868610,-111.313330,1997-01-01T00:00:00Z,2025-04-04T22:02:00Z,10320 days 22:02:00,28.257133622328695
QSBA3,SASABE,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,31.691690,-111.448110,1997-01-01T00:00:00Z,2025-04-04T21:05:00Z,10320 days 21:05:00,28.25702524906837
QHQA3,SMITH PEAK,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.114860,-113.347330,1997-01-01T00:00:00Z,2025-04-04T21:53:00Z,10320 days 21:53:00,28.257116510761275
QSTA3,STANTON,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.164030,-112.734860,1997-01-01T00:00:00Z,2025-04-04T22:01:00Z,10320 days 22:01:00,28.257131721043425
QSPA3,SUNSET POINT,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.188470,-112.134670,1997-01-01T00:00:00Z,2025-04-04T21:53:00Z,10320 days 21:53:00,28.257116510761275
QTCA3,TRAIL CABIN,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,33.264780,-109.367830,1997-01-01T00:00:00Z,2025-04-04T21:35:00Z,10320 days 21:35:00,28.257082287626435
QTWA3,TWEEDS POINT,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.581940,-113.731940,1997-01-01T00:00:00Z,2025-04-04T21:33:00Z,10320 days 21:33:00,28.2570784850559
QUPA3,UNION PASS,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.232330,-114.381940,1998-07-28T00:00:00Z,2025-04-04T21:52:00Z,9747 days 21:52:00,26.68832610844931
QVDA3,VERDE,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.549170,-111.844170,1997-01-01T00:00:00Z,2025-04-04T22:05:00Z,10320 days 22:05:00,28.2571393261845
QWSA3,WARM SPRINGS CANYON,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.701170,-112.226890,1997-01-01T00:00:00Z,2025-04-04T21:47:00Z,10320 days 21:47:00,28.25710510304966
QYJA3,YELLOW JOHN MOUNTAIN,AZ,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.1550,-113.549440,1997-01-01T00:00:00Z,2025-04-04T21:50:00Z,10320 days 21:50:00,28.25711080690547
ATNC1,ACTON,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.446390,-118.1968,1999-12-02T00:00:00Z,2025-04-04T21:54:00Z,9255 days 21:54:00,25.341307323750854
ALDC1,ALDER POINT,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,40.186020,-123.591060,1999-12-02T00:00:00Z,2025-04-04T21:51:00Z,9255 days 21:51:00,25.34130161989505
ECKC1,ALDER SPRINGS,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,39.651620,-122.724530,1999-12-02T00:00:00Z,2025-04-04T21:24:00Z,9255 days 21:24:00,25.34125028519279
NZAC1,ANZA,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,33.555860,-116.674540,1999-10-13T00:00:00Z,2025-04-04T21:54:00Z,9305 days 21:54:00,25.47819986310746
ARGC1,SAN LUIS OBISPO,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.302980,-120.678740,2000-06-23T00:00:00Z,2025-04-04T21:54:00Z,9051 days 21:54:00,24.782785763175905
ASRC1,ARROYO SECO,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.235480,-121.479880,1999-12-02T00:00:00Z,2025-04-04T22:04:00Z,9255 days 22:04:00,25.341326336603544
MCCC1,ASH CREEK,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,41.276810,-121.980570,1999-12-02T00:00:00Z,2025-04-04T22:00:00Z,9255 days 22:00:00,25.34131873146247
BDMC1,BALD MTN LOC,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,38.904170,-120.705220,1999-12-02T00:00:00Z,2025-04-04T21:36:00Z,9255 days 21:36:00,25.341273100616018
BNGC1,BANGOR,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,39.380750,-121.386230,1999-12-02T00:00:00Z,2025-04-04T21:51:00Z,9255 days 21:51:00,25.34130161989505
BBEC1,BARNABY,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,38.028060,-122.702220,1999-12-02T00:00:00Z,2025-04-04T21:11:00Z,9255 days 21:11:00,25.341225568484294
BPKC1,BEAR PEAK,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.881940,-118.075560,1999-12-02T00:00:00Z,2025-04-04T21:10:00Z,9255 days 21:10:00,25.341223667199028
COKC1,BEAVER,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,38.481900,-120.315820,1999-12-02T00:00:00Z,2025-04-04T21:17:00Z,9255 days 21:17:00,25.34123697619591
CAPC1,BELL CANYON,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,33.551830,-117.572940,1999-12-02T00:00:00Z,2025-04-04T21:51:00Z,9255 days 21:51:00,25.34130161989505
BENC1,BEN BOLT,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,38.590840,-120.933620,1999-12-02T00:00:00Z,2025-04-04T21:59:00Z,9255 days 21:59:00,25.3413168301772
BNDC1,BEN LOMOND,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,37.130940,-122.172610,1999-12-02T00:00:00Z,2025-04-04T21:50:00Z,9255 days 21:50:00,25.34129971860978
BETC1,BENTON,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,37.843330,-118.478530,1999-12-02T00:00:00Z,2025-04-04T22:00:00Z,9255 days 22:00:00,25.34131873146247
BVRC1,BEVERLY HILLS,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.124860,-118.412570,1999-12-02T00:00:00Z,2025-04-04T21:55:00Z,9255 days 21:55:00,25.341309225036124
BGBC1,BIG BAR,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,40.742160,-123.249180,1999-12-02T00:00:00Z,2025-04-04T21:20:00Z,9255 days 21:20:00,25.341242680051714
PIBC1,BLACK DIAMOND,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,37.95,-121.884440,1999-12-02T00:00:00Z,2025-04-04T21:28:00Z,9255 days 21:28:00,25.341257890333864
BDOC1,BLUE DOOR,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,41.054080,-120.337530,1999-12-02T00:00:00Z,2025-04-04T21:59:00Z,9255 days 21:59:00,25.3413168301772
BOGC1,BOGARD R.S.,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,40.592080,-121.077950,1999-12-02T00:00:00Z,2025-04-04T22:00:00Z,9255 days 22:00:00,25.34131873146247
BNVC1,BOONVILLE,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,38.987360,-123.348460,1999-12-02T00:00:00Z,2025-04-04T21:50:00Z,9255 days 21:50:00,25.34129971860978
BRHC1,BRANCH MOUNTAIN,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.185230,-120.084990,1999-12-02T00:00:00Z,2025-04-04T21:35:00Z,9255 days 21:35:00,25.34127119933075
BZRC1,BRAZIE RANCH,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,41.675760,-122.599900,1999-12-02T00:00:00Z,2025-04-04T21:54:00Z,9255 days 21:54:00,25.341307323750854
PLEC1,BRIONES,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,37.934170,-122.117780,1999-12-02T00:00:00Z,2025-04-04T21:28:00Z,9255 days 21:28:00,25.341257890333864
BKSC1,BROOKS,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,38.738360,-122.144690,1999-12-02T00:00:00Z,2025-04-04T21:59:00Z,9255 days 21:59:00,25.3413168301772
BUFC1,BULL FLAT,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,40.481470,-120.115080,1999-12-02T00:00:00Z,2025-04-04T21:40:00Z,9255 days 21:40:00,25.341280705757093
BCNC1,BURNS CANYON,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.208420,-116.621610,1999-10-13T00:00:00Z,2025-04-04T21:51:00Z,9305 days 21:51:00,25.478194159251654
PEAC1,CALAVERAS ROAD,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,37.553060,-121.843890,1999-12-02T00:00:00Z,2025-04-04T21:18:00Z,9255 days 21:18:00,25.341238877481178
CLNC1,CALLAHAN #2,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,41.299740,-122.825530,1999-12-02T00:00:00Z,2025-04-04T21:16:00Z,9255 days 21:16:00,25.34123507491064
CMNC1,CAMERON FIRE STATION,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.721190,-116.464670,1999-10-13T00:00:00Z,2025-04-04T22:04:00Z,9305 days 22:04:00,25.47821887596015
CNIC1,CAMP 9,CA,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.353250,-118.418580,1999-12-02T00:00:00Z,2025-04-04T21:55:00Z,9255 days 21:55:00,25.341309225036124
